year,Base case diesel consumed,White mountain (eagle creek),"Golovin (east tributary  and upper cheenik creek) -- cheenik creek, upper"
2021,65792.9398857,25747.8118877,43049.9606687
2022,66107.7386411,26062.6106431,43364.7594241
2023,66501.2370854,26456.1090874,43758.2578684
2024,66816.0358408,26770.9078428,44073.0566239
2025,67209.5342851,27164.4062871,44466.5550682
2026,67524.3330406,27479.2050426,44781.3538236
2027,67917.8314849,27872.7034868,45174.8522679
2028,68232.6302403,28187.5022423,45489.6510233
2029,68626.1286846,28581.0006866,45883.1494676
2030,69019.6271289,28974.4991309,46276.6479119
2031,69334.4258843,29289.2978863,46591.4466673
2032,69649.2246397,29604.0966417,46906.2454228
2033,69964.0233952,29918.8953972,47221.0441782
2034,70278.8221506,30233.6941526,47535.8429336
2035,70514.9212172,30469.7932192,47771.9420002
2036,70829.7199726,30784.5919746,48086.7407557
2037,71144.518728,31099.39073,48401.5395111
2038,71459.3174835,31414.1894855,48716.3382665
2039,71774.1162389,31728.9882409,49031.137022
2040,72010.2153055,31965.0873075,49267.2360885
2041,72325.0140609,32279.8860629,49582.034844
2042,72561.1131275,32515.9851295,49818.1339105
2043,72875.9118829,32830.7838849,50132.932666
2044,73112.0109495,33066.8829515,50369.0317325
2045,73348.1100161,33302.9820181,50605.1307991
2046,73662.9087715,33617.7807735,50919.9295546
2047,73899.0078381,33853.8798401,51156.0286211
2048,74135.1069047,34089.9789067,51392.1276877
2049,74371.2059712,34326.0779732,51628.2267543
2050,74607.3050378,34562.1770398,51864.3258209
