year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation wind [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation biomass [kWh/year],generation solar [kWh/year],generation wind [kWh/year],generation natural gas [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,27365632.0,0,8474.65,12186066.0,0.0,0.0,0.0,0.0,12005690.0,180376.0
2004,,27365632.0,0,8474.65,12639026.0,0.0,0.0,0.0,0.0,11888770.0,750256.0
2005,,27365632.0,0,8474.65,22506279.0,0.0,0.0,0.0,0.0,22376210.0,130069.0
2006,,27365632.0,0,8474.65,13430788.0,0.0,0.0,0.0,0.0,13376726.0,54062.0
2007,,27365632.0,0,8474.65,14116122.0,0.0,0.0,0.0,0.0,13616445.0,499677.0
2008,,27365632.0,0,8474.65,14798856.0,0.0,0.0,0.0,0.0,14603046.0,195810.0
2009,,27365632.0,0,8474.65,14802773.0,0.0,0.0,0.0,0.0,14563071.0,239702.0
2010,,27365632.0,0,8474.65,14669534.0,0.0,0.0,0.0,0.0,14597252.0,72282.0
2011,,27365632.0,0,8474.65,14841833.0,0.0,0.0,0.0,0.0,14356633.0,485200.0
2012,,27365632.0,0,8474.65,14523616.0,0.0,0.0,0.0,0.0,14331196.0,192420.0
2013,,27365632.0,0,8474.65,15072110.0,0.0,0.0,0.0,0.0,13539282.0,1532828.0
2014,start of forecast,27365632.0,0,8474.65,14776000.0,0.0,0.0,0.0,0.0,14039184.0,736816.0
2015,,27365632.0,0,8474.65,14775000.0,0.0,0.0,0.0,0.0,14038184.0,736816.0
2016,,27365632.0,0,8474.65,14762000.0,0.0,0.0,0.0,0.0,14025184.0,736816.0
2017,,27365632.0,0,8474.65,14741000.0,0.0,0.0,0.0,0.0,14004184.0,736816.0
2018,,27365632.0,0,8474.65,14719000.0,0.0,0.0,0.0,0.0,13982184.0,736816.0
2019,,27365632.0,0,8474.65,14698000.0,0.0,0.0,0.0,0.0,13961184.0,736816.0
2020,,27365632.0,0,8474.65,14671000.0,0.0,0.0,0.0,0.0,13934184.0,736816.0
2021,,27365632.0,0,8474.65,14636000.0,0.0,0.0,0.0,0.0,13899184.0,736816.0
2022,,27365632.0,0,8474.65,14600000.0,0.0,0.0,0.0,0.0,13863184.0,736816.0
2023,,27365632.0,0,8474.65,14559000.0,0.0,0.0,0.0,0.0,13822184.0,736816.0
2024,,27365632.0,0,8474.65,14517000.0,0.0,0.0,0.0,0.0,13780184.0,736816.0
2025,,27365632.0,0,8474.65,14469000.0,0.0,0.0,0.0,0.0,13732184.0,736816.0
2026,,27365632.0,0,8474.65,14418000.0,0.0,0.0,0.0,0.0,13681184.0,736816.0
2027,,27365632.0,0,8474.65,14363000.0,0.0,0.0,0.0,0.0,13626184.0,736816.0
2028,,27365632.0,0,8474.65,14306000.0,0.0,0.0,0.0,0.0,13569184.0,736816.0
2029,,27365632.0,0,8474.65,14275000.0,0.0,0.0,0.0,0.0,13538184.0,736816.0
2030,,27365632.0,0,8474.65,14238000.0,0.0,0.0,0.0,0.0,13501184.0,736816.0
2031,,27365632.0,0,8474.65,14197000.0,0.0,0.0,0.0,0.0,13460184.0,736816.0
2032,,27365632.0,0,8474.65,14143000.0,0.0,0.0,0.0,0.0,13406184.0,736816.0
2033,,27365632.0,0,8474.65,14087000.0,0.0,0.0,0.0,0.0,13350184.0,736816.0
2034,,27365632.0,0,8474.65,14036000.0,0.0,0.0,0.0,0.0,13299184.0,736816.0
2035,,27365632.0,0,8474.65,13994000.0,0.0,0.0,0.0,0.0,13257184.0,736816.0
2036,,27365632.0,0,8474.65,13963000.0,0.0,0.0,0.0,0.0,13226184.0,736816.0
2037,,27365632.0,0,8474.65,13943000.0,0.0,0.0,0.0,0.0,13206184.0,736816.0
2038,,27365632.0,0,8474.65,13927000.0,0.0,0.0,0.0,0.0,13190184.0,736816.0
2039,,27365632.0,0,8474.65,13915000.0,0.0,0.0,0.0,0.0,13178184.0,736816.0
2040,,27365632.0,0,8474.65,13900000.0,0.0,0.0,0.0,0.0,13163184.0,736816.0
