year,Base case diesel consumed,Modeled non-residential ashp
2017,8805.95342876,-7203.61840335
2018,8805.95342876,-7203.61840335
2019,8805.95342876,-7203.61840335
2020,8805.95342876,-7203.61840335
2021,8805.95342876,-7203.61840335
2022,8805.95342876,-7203.61840335
2023,8805.95342876,-7203.61840335
2024,8805.95342876,-7203.61840335
2025,8805.95342876,-7203.61840335
2026,8805.95342876,-7203.61840335
2027,8805.95342876,-7203.61840335
2028,8805.95342876,-7203.61840335
2029,9641.68144978,-6367.89038232
2030,9641.68144978,-6367.89038232
2031,9641.68144978,-6367.89038232
