year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,20044.63,84912.08,32730.64,26746.95,75572.65,37340.95
2018,21229.79,89935.5,30667.8,27859.37,78718.4,35654.01
2019,22846.03,96785.62,32875.35,29376.5,83008.06,37596.93
2020,23545.86,99754.0,33831.95,30033.22,84866.92,38438.87
2021,24083.9,102037.38,34567.8,30538.02,86296.8,39086.51
2022,24460.62,103635.74,35082.89,30891.5,87297.73,39539.85
2023,24674.63,104549.09,35377.23,31091.84,87869.68,39798.91
2024,24889.2,105462.44,35671.57,31292.92,88441.64,40057.97
2025,25156.19,106604.12,36039.49,31542.7,89156.58,40381.79
2026,25478.12,107974.15,36481.0,31844.44,90014.51,40770.37
2027,25691.62,108887.5,36775.34,32044.16,90586.47,41029.43
2028,25903.68,109800.85,37069.68,32242.02,91158.42,41288.48
2029,26172.45,110942.53,37437.6,32494.15,91873.36,41612.3
2030,26385.61,111855.88,37731.94,32693.45,92445.32,41871.36
2031,26652.39,112997.57,38099.86,32943.04,93160.26,42195.18
2032,,,38541.37,,,42583.76
2033,,,38982.88,,,42972.35
2034,,,39424.39,,,43360.93
2035,,,34620.46,,,39595.66
2036,,,35006.01,,,39948.92
