year,Base case cost,Modeled residential energy efficiency
2017,44681.1660421,64149.6917038
2018,48339.6236277,67537.1348474
2019,50307.2823344,69143.4409648
2020,51291.1116877,69946.5940235
2021,51946.9979233,70482.029396
2022,52493.5697863,70928.2255398
2023,52821.5129041,71195.943226
2024,50571.9213731,68896.1638354
2025,50933.6344198,69187.6138786
2026,51347.0207588,69520.6996422
2027,51657.060513,69770.5139649
2028,51967.1002673,70020.3282876
2029,49704.4834582,67687.448475
2030,49899.241052,67842.0557812
2031,47628.6196568,65491.1338106
2032,48039.9691977,65812.1452041
2033,48405.6132339,66097.488665
2034,48816.9627748,66418.5000585
2035,49045.4902974,66596.8397216
2036,49456.8398383,66917.8511151
