year,Base case diesel consumed,Modeled residential energy efficiency
2017,73432.9361492,59624.8779628
2018,72314.655321,58506.5971346
2019,71196.3744928,57388.3163064
2020,71196.3744928,57388.3163064
2021,71196.3744928,57388.3163064
2022,71196.3744928,57388.3163064
2023,72314.655321,58506.5971346
2024,72314.655321,58506.5971346
2025,72314.655321,58506.5971346
2026,72314.655321,58506.5971346
2027,72314.655321,58506.5971346
2028,72314.655321,58506.5971346
2029,71196.3744928,57388.3163064
2030,71196.3744928,57388.3163064
2031,71196.3744928,57388.3163064
2032,71196.3744928,57388.3163064
2033,70078.0936646,56270.0354782
2034,70078.0936646,56270.0354782
2035,70078.0936646,56270.0354782
2036,70078.0936646,56270.0354782
