year,Base case cost,Modeled diesel efficiency
2019,562171.774683,816148.708276
2020,602507.96517,852817.972355
2021,627307.402125,875362.915041
2022,647944.656827,894124.055679
2023,661881.389221,906793.812401
2024,671492.085994,915530.809467
2025,685113.015528,927913.47268
2026,700344.482927,941760.261224
2027,713127.93969,953381.585555
2028,723467.587188,962781.265098
2029,736320.36653,974465.609955
2030,744638.442287,982027.497007
2031,758424.63895,994560.403064
2032,773123.94632,1007923.40976
2033,787355.50134,1020861.18705
2034,801100.397851,1033356.54752
2035,806707.190524,1038453.63177
2036,822372.825934,1052695.1185
2037,827968.414958,1057782.01762
2038,841211.948171,1069821.59326
