year,Base case cost,Modeled residential ashp
2017,446141.442667,403911.09386
2018,492937.162978,420261.364277
2019,552328.807407,438334.183849
2020,583848.114162,449194.078176
2021,603755.044744,456052.958803
2022,615720.361841,457144.900937
2023,627246.184109,461059.360732
2024,635478.914301,463855.403442
2025,642146.012819,462911.139488
2026,650261.81988,462328.246578
2027,661614.534338,466069.598563
2028,666227.046982,464158.086229
2029,672288.268167,462607.944941
2030,675006.937902,459889.927194
2031,682319.030132,458503.319454
