year,Base case cost,Modeled water and wastewater efficiency
2017,44202.2004961,35722.7887083
2018,46186.3583484,37026.7191837
2019,48996.4070157,38873.9172324
2020,50274.9895942,39714.0170479
2021,51192.4918461,40316.3550147
2022,51879.2333762,40767.1630295
2023,52325.2365182,41059.444994
2024,52712.4154194,41313.0577428
2025,53162.9330044,41608.5271384
2026,53784.0742435,42015.9921505
2027,54231.8288477,42309.5647521
2028,54621.0326321,42564.6523008
2029,55139.9970283,42905.5779441
2030,55479.1328206,43128.0985434
2031,56107.8384354,43540.9134313
