year,Base case diesel consumed,Modeled non-residential ashp
2017,58662.2964174,44077.664005
2018,61023.677686,46439.0452735
2019,62204.3683202,47619.7359078
2020,63385.0589545,48800.4265421
2021,64565.7495888,49981.1171763
2022,65746.4402231,51161.8078106
2023,66927.1308573,52342.4984449
2024,68107.8214916,53523.1890791
2025,69288.5121259,54703.8797134
2026,70469.2027602,55884.5703477
2027,71649.8933944,57065.260982
2028,74011.274663,59426.6422505
2029,74011.274663,59426.6422505
2030,76372.6559315,61788.0235191
2031,77553.3465658,62968.7141533
