year,Base case diesel consumed,Modeled non-residential ashp
2017,173824.018867,146511.89829
2018,178645.596304,151333.475727
2019,183467.17374,156155.053164
2020,188288.751177,160976.6306
2021,194717.521092,167405.400515
2022,199539.098529,172226.977952
2023,205967.868444,178655.747867
2024,212396.63836,185084.517783
2025,217218.215796,189906.095219
2026,223646.985711,196334.865135
2027,230075.755627,202763.63505
2028,236504.525542,209192.404965
2029,242933.295458,215621.174881
2030,249362.065373,222049.944796
2031,257398.027767,230085.90719
