year,Base case cost,Modeled solar power (pv)
2016,79186.478309,86206.422973
2017,97722.7367584,104483.358632
2018,111189.546876,117769.457296
2019,131046.526039,137360.178878
2020,140503.491835,146701.644403
2021,146895.174601,153023.368824
2022,152272.664956,158346.562673
2023,155597.55097,161646.742574
2024,159163.875326,165188.901423
2025,162511.46714,168512.861269
2026,166908.066925,172872.405948
2027,171044.306867,176979.252659
2028,174155.758359,180075.660915
2029,178855.859007,184740.686875
2030,181214.991651,187092.478438
2031,185951.42158,191795.041042
2032,191240.359314,197044.164533
2033,196026.742003,201798.123555
2034,201081.809994,206814.908499
2035,204315.872807,210037.419175
