year,Base case cost,Modeled residential energy efficiency
2017,1758355.37886,1669523.13023
2018,1883564.47953,1777072.48294
2019,2041563.92007,1911299.18585
2020,2155866.67258,2014055.18008
2021,2246195.50783,2096233.36241
2022,2334852.07579,2179456.16177
2023,2417867.1605,2258395.92003
2024,2498336.27879,2335468.93295
2025,2583457.97341,2416515.30112
2026,2673507.01957,2501809.79974
2027,2760918.50757,2585145.96129
2028,2845417.6622,2666249.01055
2029,2949962.30012,2766039.10094
2030,3032342.91643,2845702.83295
2031,3143768.8629,2951695.01081
2032,3252480.92476,3055652.52515
2033,3362688.98497,3161106.03783
2034,3479030.35455,3272013.63881
2035,3582848.93234,3372436.11122
2036,3702289.15563,3486442.5659
