year,Base case diesel consumed,"Naknek (unnamed stream, site #1) -- unnamed creek"
2021,1321646.08369,1321125.70506
2022,1321581.97292,1321061.59429
2023,1321581.97292,1321061.59429
2024,1321581.97292,1321061.59429
2025,1321517.86215,1320997.48352
2026,1321197.3083,1320676.92967
2027,1320620.31137,1320099.93274
2028,1319850.98213,1319330.60351
2029,1319209.87443,1318689.49581
2030,1318376.43443,1317856.0558
2031,1317286.55134,1316766.17272
2032,1315940.22517,1315419.84655
2033,1314465.67747,1313945.29884
2034,1312991.12976,1312470.75114
2035,1311388.36052,1310867.98189
2036,1309785.59127,1309265.21265
2037,1308182.82203,1307662.4434
2038,1306451.83124,1305931.45262
2039,1304720.84046,1304200.46184
2040,1302925.73891,1302405.36028
2041,1301066.52658,1300546.14796
2042,1299271.42503,1298751.0464
2043,1297412.2127,1296891.83408
2044,1295617.11115,1295096.73253
2045,1293822.0096,1293301.63097
2046,1292026.90804,1291506.52942
2047,1290231.80649,1289711.42786
2048,1288436.70493,1287916.32631
2049,1286705.71415,1286185.33552
2050,1284974.72336,1284454.34474
