year,Base case diesel consumed,Modeled non-residential ashp
2017,98636.0692879,76061.093738
2018,99840.0457162,77265.0701662
2019,101044.022144,78469.0465945
2020,102247.998573,79673.0230228
2021,104655.951429,82080.9758793
2022,105859.927858,83284.9523076
2023,107063.904286,84488.9287359
2024,108267.880714,85692.9051642
2025,110675.833571,88100.8580207
2026,111879.809999,89304.834449
2027,113083.786427,90508.8108773
2028,114287.762856,91712.7873056
2029,115491.739284,92916.7637338
2030,116695.715712,94120.7401621
2031,117899.69214,95324.7165904
