year,Base case cost,Modeled diesel efficiency
2019,22304.8688519,171607.284041
2020,23509.6752993,172702.56263
2021,24346.4146038,173463.234725
2022,24967.2211846,174027.604344
2023,25394.1790702,174415.747876
2024,25745.0697464,174734.7394
2025,26167.1200701,175118.421512
2026,26679.960289,175584.639893
2027,27114.2795175,175979.475555
2028,27465.1701936,176298.467079
2029,27946.1112601,176735.686231
2030,28240.5649743,177003.371425
2031,28758.3127552,177474.051226
2032,29293.2370027,177960.345997
2033,29813.4385644,178433.256507
2034,30363.0854977,178932.935537
2035,30713.9761738,179251.927061
2036,31283.2533546,179769.451771
2037,31621.8751259,180077.289745
2038,32181.3371829,180585.891615
