year,Base case diesel consumed,Modeled residential ashp
2017,4357.06488213,309.297815861
2018,3775.78591666,-271.981149605
2019,3775.78591666,-271.981149605
2020,3775.78591666,-271.981149605
2021,3194.50695119,-853.260115072
2022,3194.50695119,-853.260115072
2023,3194.50695119,-853.260115072
2024,3194.50695119,-853.260115072
2025,2613.22798573,-1434.53908054
2026,2613.22798573,-1434.53908054
2027,2613.22798573,-1434.53908054
2028,2031.94902026,-2015.818046
2029,2031.94902026,-2015.818046
2030,2031.94902026,-2015.818046
2031,2031.94902026,-2015.818046
