year,Base case cost,Modeled non-residential energy efficiency
2017,572441.746414,555412.818055
2018,611194.187161,590190.510088
2019,663204.04185,636865.833606
2020,687679.267585,658830.691731
2021,705015.885814,674389.132904
2022,717253.498682,685371.561967
2023,726431.708333,693608.383764
2024,733570.315839,700014.800718
2025,741728.724418,707336.420093
2026,752946.536213,717403.646734
2027,762124.745864,725640.468531
2028,769263.35337,732046.885485
2029,778441.563021,740283.707282
2030,784560.369455,745774.921813
2031,795778.18125,755842.148454
