year,Base case cost,Modeled water and wastewater efficiency
2017,81682.429302,54851.1185489
2018,86166.9638213,57382.6573114
2019,92062.0927406,60710.399355
2020,95171.0796063,62464.2143336
2021,97443.1132422,63745.1476781
2022,99367.9377451,64829.8312159
2023,100941.677103,65716.1223289
2024,102284.029446,66471.6497246
2025,103768.259767,67307.1604151
2026,105525.492239,68296.6380879
2027,107179.804918,69227.8656163
2028,108587.268034,70019.6880035
2029,110413.039189,71047.3914411
2030,111735.835322,71791.1664119
2031,113606.005559,72843.6271254
