year,Base case cost,Modeled non-residential energy efficiency
2017,463671.598506,494664.165001
2018,497858.858192,526805.108287
2019,544866.340261,570998.905306
2020,566233.377565,591086.994859
2021,580762.962932,604746.895756
2022,591873.82233,615192.702324
2023,599565.955759,622424.414563
2024,605548.726204,628049.079638
2025,613240.859634,635280.791878
2026,622642.356047,644119.551281
2027,630334.489477,651351.263521
2028,636317.259922,656975.928596
2029,644864.074844,665011.164417
2030,649992.163796,669832.30591
2031,659393.66021,678671.065314
