year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,104210.344492,77115.6549239
2018,104210.344492,77115.6549239
2019,104210.344492,77115.6549239
2020,104210.344492,77115.6549239
2021,104210.344492,77115.6549239
2022,104210.344492,77115.6549239
2023,104210.344492,77115.6549239
2024,104210.344492,77115.6549239
2025,104210.344492,77115.6549239
2026,104210.344492,77115.6549239
2027,104210.344492,77115.6549239
2028,104210.344492,77115.6549239
2029,104210.344492,77115.6549239
2030,104210.344492,77115.6549239
2031,104210.344492,77115.6549239
