year,Base case cost,Modeled non-residential energy efficiency
2017,126169.597582,150341.780052
2018,134566.05814,158471.924184
2019,146111.191407,169650.872364
2020,151621.368648,174986.279451
2021,155294.820143,178543.217508
2022,158181.103459,181337.954554
2023,160280.218599,183370.490587
2024,161854.554954,184894.892611
2025,163691.280701,186673.36164
2026,166052.785233,188959.964677
2027,168151.900372,190992.50071
2028,169726.236727,192516.902735
2029,171825.351866,194549.438767
2030,173137.298829,195819.773788
2031,175498.803361,198106.376825
