year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2390.34502752,466.832340844
2018,2397.85646815,468.29931878
2019,2405.32667453,469.758243701
2020,2412.72095116,471.202339606
2021,2420.05584511,472.634838127
2022,2427.39661061,474.068483355
2023,2434.7629974,475.507132399
2024,2442.11817488,476.943592273
2025,2449.39502061,478.364754024
2026,2456.5346857,479.759124514
2027,2463.54891324,481.128997158
2028,2470.45398342,482.477551463
2029,2477.40896174,483.835852784
2030,2484.24557505,485.17103752
2031,2490.97076245,486.484460872
