year,Base case diesel consumed,Modeled non-residential ashp
2017,59990.918967,33599.0575099
2018,59990.918967,33599.0575099
2019,59990.918967,33599.0575099
2020,59990.918967,33599.0575099
2021,59990.918967,33599.0575099
2022,59990.918967,33599.0575099
2023,59990.918967,33599.0575099
2024,59990.918967,33599.0575099
2025,59990.918967,33599.0575099
2026,59990.918967,33599.0575099
2027,59990.918967,33599.0575099
2028,59990.918967,33599.0575099
2029,59990.918967,33599.0575099
2030,59990.918967,33599.0575099
2031,59990.918967,33599.0575099
