year,Base case cost,Modeled solar power (pv)
2016,513517.077258,522831.877483
2017,593754.120579,602403.3805
2018,651144.273201,659329.873225
2019,729805.997481,737358.96164
2020,765089.019629,772383.075723
2021,789035.493092,796174.612269
2022,810324.13531,817360.546685
2023,825878.003845,832862.716384
2024,838988.643492,845947.208215
2025,853860.264744,860769.506959
2026,868131.777978,874981.023253
2027,880058.017649,886860.540583
2028,889016.222829,895796.739835
2029,904992.994815,911717.386296
2030,912897.810909,919613.689614
2031,927551.0663,934213.19331
2032,942280.709664,948879.058499
2033,957904.679287,964440.761061
2034,972076.447106,978551.752837
2035,982777.294451,989237.707028
