year,Base case cost,Modeled non-residential energy efficiency
2017,150165.930641,165467.074496
2018,164393.998864,178425.882883
2019,184211.665319,196475.651706
2020,193358.280605,204806.314241
2021,199964.169423,210822.903848
2022,205045.62236,215451.049701
2023,208602.639416,218690.751797
2024,211651.511178,221467.639309
2025,215208.528234,224707.341405
2026,219273.690584,228409.858087
2027,222830.70764,231649.560184
2028,225879.579402,234426.447695
2029,229436.596458,237666.149791
2030,231977.322926,239980.222718
2031,236550.630569,244145.553985
