year,Base case cost,Modeled non-residential energy efficiency
2017,2078998.21924,2174797.65001
2018,2178786.44267,2266405.03567
2019,2315995.24989,2392365.19095
2020,2378362.88954,2449619.80699
2021,2424099.15861,2491606.52542
2022,2457361.89975,2522142.32064
2023,2478151.11297,2541227.19265
2024,2498940.32618,2560312.06466
2025,2519729.5394,2579396.93668
2026,2548834.4379,2606115.75749
2027,2573781.49376,2629017.60391
2028,2590412.86433,2644285.50152
2029,2615359.92018,2667187.34794
2030,2631991.29076,2682455.24555
2031,2661096.18926,2709174.06636
