year,Base case cost,Modeled non-residential ashp
2017,2166549.39519,3367922.8472
2018,2392196.07996,3526410.6168
2019,2704256.72456,3745481.99426
2020,2850225.46401,3847539.13533
2021,2944675.82482,3913576.10896
2022,3014508.42905,3960161.3964
2023,3066872.08899,3994443.80996
2024,3098044.3228,4012700.86777
2025,3133467.01471,4032625.34849
2026,3193232.46548,4071726.51767
2027,3227682.0885,4090677.9295
2028,3253259.7405,4103340.40551
2029,3290870.40752,4122869.82614
2030,3311223.66698,4130307.90961
2031,3347459.34535,4148462.34158
