year,Base case diesel consumed,Modeled diesel efficiency
2019,107260.964127,97509.9673886
2020,107625.301641,97841.1833104
2021,107916.771653,98106.1560479
2022,108135.374161,98304.885601
2023,108499.711675,98636.1015228
2024,108718.314184,98834.8310759
2025,109009.784195,99099.8038134
2026,109374.121709,99431.0197352
2027,109665.59172,99695.9924727
2028,110029.929234,100027.208395
2029,110321.399245,100292.181132
2030,110612.869256,100557.153869
2031,110904.339268,100822.126607
2032,111268.676782,101153.342529
2033,111560.146793,101418.315266
2034,111851.616804,101683.288004
2035,112143.086815,101948.260741
2036,112580.291832,102345.719847
2037,112944.629346,102676.935769
2038,113236.099357,102941.908507
