year,Base case cost,Modeled residential ashp
2017,499210.762817,498216.770128
2018,541775.572227,535357.457182
2019,591594.095987,577620.953374
2020,619730.5604,602076.763331
2021,640324.628201,620346.207265
2022,658903.234586,636987.627094
2023,673050.276778,649972.357353
2024,687347.559481,663107.328122
2025,709144.538088,683741.994795
2026,726258.564929,699306.272392
2027,742339.820978,714031.497852
2028,763704.990835,734428.074431
2029,781470.059889,750643.39424
2030,794302.763049,762701.222778
2031,812418.393295,779267.103779
