year,Base case cost,Modeled residential energy efficiency
2017,80485.5036318,90467.2500053
2018,90121.0109666,99467.1924693
2019,100166.763279,108599.32028
2020,106556.087953,114551.694105
2021,110912.445686,118610.130805
2022,109788.902284,117268.111978
2023,112026.807031,119347.125508
2024,109506.481615,116687.770276
2025,111658.90032,118681.297763
2026,109420.221451,116263.866274
2027,111487.154112,118171.907718
2028,108475.283949,115021.007739
2029,105787.803354,112154.774524
2030,107209.773786,113457.576543
2031,104492.144378,110541.333113
2032,101560.799863,107411.374576
2033,103717.035475,109368.996165
2034,100670.056104,106103.54137
2035,96610.9819134,101905.437364
2036,93136.5723276,98212.5523541
