year,Base case cost,Modeled non-residential ashp
2017,398047.506097,541724.209068
2018,426374.29651,571632.85381
2019,464615.463566,612009.524212
2020,482319.707574,630702.427176
2021,494358.593499,643413.601191
2022,503564.800383,653133.910733
2023,509938.328226,659863.3558
2024,514895.516548,665097.36863
2025,521269.044391,671826.813697
2026,528350.741994,679303.974882
2027,534724.269837,686033.419949
2028,539681.458159,691267.432779
2029,546763.155762,698744.593965
2030,551012.174324,703230.890676
2031,558093.871927,710708.051862
