year,Base case cost,Modeled solar power (pv)
2016,927533.84297,958138.635733
2017,1105481.4232,1133988.42704
2018,1239685.12781,1266672.04047
2019,1421115.62342,1446036.89897
2020,1509479.96002,1533501.99044
2021,1569465.60183,1592947.11719
2022,1616124.8794,1639230.462
2023,1650316.24183,1673206.63712
2024,1676272.99177,1699044.24907
2025,1710659.31887,1733223.93537
2026,1749907.67191,1772210.25229
2027,1784511.63398,1806617.10132
2028,1813951.29931,1835923.07892
2029,1851404.91943,1873158.65768
2030,1875212.52393,1896898.14266
2031,1915518.82479,1936965.95873
2032,1955952.0794,1977165.86143
2033,1999739.02862,2020696.18897
2034,2043684.67001,2064390.66194
2035,2073852.80798,2094452.43508
