year,Base case cost,Modeled non-residential ashp
2017,13022703.5204,11524044.4609
2018,13910589.5489,12349785.5659
2019,15143764.5885,13496648.2119
2020,15735688.6075,14047142.2819
2021,16130304.6202,14414138.3286
2022,16426266.6297,14689385.3637
2023,16648238.1368,14895820.6399
2024,16820882.6423,15056381.4104
2025,17018190.6487,15239879.4337
2026,17264825.6566,15469251.9629
2027,17486797.1637,15675687.2392
2028,17659441.6693,15836248.0096
2029,17881413.1764,16042683.2859
2030,18029394.1811,16180306.8034
2031,18276029.1891,16409679.3326
