year,Base case cost,Modeled non-residential energy efficiency
2017,268345.815508,249558.760283
2018,284628.025185,263687.828584
2019,307965.859056,283939.493148
2020,318820.665508,293358.872015
2021,326961.770346,300423.406166
2022,332389.173572,305133.095599
2023,336731.096153,308900.847146
2024,339987.538088,311726.660806
2025,344329.460669,315494.412353
2026,349214.123572,319733.132843
2027,353013.30583,323029.915447
2028,356812.488088,326326.69805
2029,361154.410669,330094.449597
2030,363868.112281,332449.294314
2031,369295.515507,337158.983747
