year,Base case diesel consumed,Brevig mission water system heat recovery
2019,96293.8861332,81456.8861332
2020,96293.8861332,81456.8861332
2021,96293.8861332,81456.8861332
2022,96293.8861332,81456.8861332
2023,96293.8861332,81456.8861332
2024,96293.8861332,81456.8861332
2025,96293.8861332,81456.8861332
2026,96293.8861332,81456.8861332
2027,96293.8861332,81456.8861332
2028,96293.8861332,81456.8861332
2029,96293.8861332,81456.8861332
2030,96293.8861332,81456.8861332
2031,96293.8861332,81456.8861332
