year,Base case cost,Modeled residential energy efficiency
2017,1022023.33788,1081877.91496
2018,1102467.5322,1157257.97663
2019,1200660.10005,1248563.32409
2020,1273172.74576,1317834.92491
2021,1345868.23833,1388302.19912
2022,1409692.76948,1450303.64252
2023,1474093.18646,1513691.23297
2024,1532278.59138,1570863.81136
2025,1600157.33516,1637527.16331
2026,1671037.58855,1706989.45955
2027,1738607.43758,1773546.48205
2028,1814103.23101,1848029.44895
2029,1887891.13444,1920399.39525
2030,1960347.65487,1992248.21976
2031,2035996.08036,2066478.68811
2032,2120094.01425,2149158.66486
2033,2208034.89988,2235479.02804
2034,2294573.01597,2320599.18699
2035,2376622.70871,2401636.0532
2036,2473003.3874,2496598.77475
