year,Base case cost,Modeled non-residential ashp
2017,200776.089949,241702.306421
2018,218897.426381,258659.938352
2019,243814.263977,281976.682256
2020,256272.682774,293635.054208
2021,264767.059227,301583.944176
2022,270996.268626,307413.130152
2023,275526.602734,311652.538134
2024,278924.353315,314832.094121
2025,283454.687423,319071.502104
2026,288551.313295,323840.836085
2027,293081.647403,328080.244067
2028,297045.689748,331789.726052
2029,302142.31562,336559.060032
2030,304973.774437,339208.690022
2031,310636.692073,344507.95
