year,Base case cost,Modeled residential ashp
2017,613768.851573,941052.637118
2018,671258.571147,993156.203513
2019,739742.049403,1054258.65704
2020,779642.284692,1090368.63639
2021,793637.372073,1101969.87792
2022,814345.131015,1120682.76531
2023,815096.941326,1120237.65269
2024,827346.177754,1131289.96619
2025,827571.731255,1130318.59676
2026,843670.154576,1144821.12285
2027,845294.044713,1145048.6029
2028,857192.443268,1155750.07853
2029,858231.603615,1155392.82879
2030,855012.266216,1151176.05562
2031,857186.634794,1151754.52696
