year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,831719.0,614985.144638
2018,831719.0,614985.144638
2019,831719.0,614985.144638
2020,831719.0,614985.144638
2021,831719.0,614985.144638
2022,831719.0,614985.144638
2023,831719.0,614985.144638
2024,831719.0,614985.144638
2025,831719.0,614985.144638
2026,831719.0,614985.144638
2027,831719.0,614985.144638
2028,831719.0,614985.144638
2029,831719.0,614985.144638
2030,831719.0,614985.144638
2031,831719.0,614985.144638
2032,,
2033,,
2034,,
2035,,
2036,,
