year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,24778.67,7599.09,33886.18,30303.4
2018,24862.66,7589.08,33886.18,30303.4
2019,24862.66,7579.91,33886.18,31420.39
2020,24946.66,7564.5,33886.18,32537.38
2021,25030.66,7555.75,33886.18,32537.38
2022,25030.66,7545.98,33886.18,33654.37
2023,25030.66,7538.41,33886.18,33654.37
2024,25114.65,7530.99,33886.18,34771.36
2025,25114.65,7523.39,33886.18,34771.36
2026,25198.65,7512.44,33886.18,35888.35
2027,25198.65,7504.47,33886.18,35888.35
2028,25198.65,7496.51,33886.18,35888.35
2029,25282.64,7488.76,33886.18,37005.34
2030,25282.64,7481.07,33886.18,37005.34
2031,25366.64,7473.59,33886.18,38122.33
2032,25366.64,,,38122.33
2033,25450.63,,,39239.32
2034,25450.63,,,39239.32
2035,25450.63,,,40356.31
2036,25534.63,,,40356.31
