year,Base case diesel consumed,Modeled diesel efficiency
2019,1274819.50974,1158926.82704
2020,1273143.35072,1157403.04611
2021,1271802.4235,1156184.02136
2022,1270394.44991,1154904.04538
2023,1268852.38361,1153502.16692
2024,1266572.80733,1151429.82485
2025,1264427.32378,1149479.38525
2026,1261946.60842,1147224.18947
2027,1258929.52217,1144481.38379
2028,1255577.20411,1141433.82192
2029,1253565.81328,1139605.2848
2030,1250883.95884,1137167.23531
2031,1252291.93242,1138447.21129
2032,1248403.24348,1134912.03952
2033,1245185.01814,1131986.38013
2034,1242302.02462,1129365.47692
2035,1239955.40198,1127232.18362
2036,1238078.10387,1125525.54897
2037,1235999.66667,1123636.06061
2038,1233317.81223,1121198.01112
