year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,30436.94,221863.09,24410.62,-29846.85,-77204.55,-12190.03
2018,32777.37,238925.63,25719.8,-27679.56,-71599.85,-11305.09
2019,36158.07,263571.52,27610.82,-24549.4,-63504.17,-10026.84
2020,37718.08,274946.55,28483.61,-23104.43,-59767.71,-9436.88
2021,38844.5,283161.85,29113.95,-22060.63,-57069.15,-9010.8
2022,39710.77,289481.31,29598.83,-21257.57,-54993.33,-8683.04
2023,40316.85,293904.93,23314.82,-20695.18,-53540.26,-7245.95
2024,40749.49,297064.66,23503.63,-20293.26,-52502.36,-7105.49
2025,41355.42,301488.28,23767.95,-19730.84,-51049.29,-6908.83
2026,42047.95,306543.85,24070.03,-19088.2,-49388.63,-6684.09
2027,42653.67,310967.47,24334.36,-18525.76,-47935.56,-6487.43
2028,43085.99,314127.2,24523.16,-18123.8,-46897.66,-6346.97
2029,43778.53,319182.77,24825.25,-17481.38,-45237.0,-6122.22
2030,44210.9,322342.5,25014.05,-17079.57,-44199.1,-5981.75
2031,44903.14,327398.06,25316.14,-16437.07,-42538.45,-5757.01
2032,,,25655.98,,,-5504.17
2033,,,25958.07,,,-5279.42
2034,,,18827.04,,,-4188.82
2035,,,18989.24,,,-4048.35
2036,,,19232.54,,,-3837.65
