year,Base case cost,Modeled residential ashp
2017,30299.7423185,5200.67186792
2018,32629.9658046,7242.4795178
2019,35995.8441734,10191.7572343
2020,37549.3264975,11552.9623342
2021,38671.2859537,12536.0549064
2022,39534.3316893,13292.2799619
2023,31258.38588,4941.5596765
2024,31594.4403044,5224.20376089
2025,32064.9164986,5619.90547903
2026,32602.6035777,6072.13601405
2027,33073.0797719,6467.8377322
2028,33409.1341964,6750.48181658
2029,33946.8212754,7202.71235161
2030,34282.8756999,7485.35643599
2031,34820.562779,7937.58697102
