year,Base case diesel consumed,Modeled non-residential ashp
2017,45514.8626746,31860.4038859
2018,45514.8626746,31860.4038859
2019,45514.8626746,31860.4038859
2020,45514.8626746,31860.4038859
2021,45514.8626746,31860.4038859
2022,45514.8626746,31860.4038859
2023,45514.8626746,31860.4038859
2024,45514.8626746,31860.4038859
2025,45514.8626746,31860.4038859
2026,45514.8626746,31860.4038859
2027,45514.8626746,31860.4038859
2028,45514.8626746,31860.4038859
2029,45514.8626746,31860.4038859
2030,45514.8626746,31860.4038859
2031,45514.8626746,31860.4038859
