year,Base case cost,Modeled non-residential energy efficiency
2017,130641.345326,140988.350435
2018,142526.388331,151805.646962
2019,159611.13765,167355.51072
2020,167782.104716,174792.402082
2021,173353.218625,179863.009829
2022,177810.109751,183919.496026
2023,180781.370503,186623.820158
2024,183009.816066,188652.063257
2025,185981.076817,191356.387389
2026,189695.152756,194736.792553
2027,192666.413508,197441.116685
2028,195266.266665,199807.4003
2029,198608.93501,202849.764949
2030,200465.97298,204539.967531
2031,204551.456512,208258.413212
