year,Base case cost,Modeled solar power (pv)
2016,99260.4409324,107227.293994
2017,121869.763589,129587.784414
2018,138964.617305,146500.275356
2019,162676.83375,169958.836911
2020,174257.218526,181424.850893
2021,181977.475043,189075.333796
2022,188043.390877,195090.849103
2023,192454.96603,199470.946251
2024,195763.647394,202760.680854
2025,200175.222547,207141.945793
2026,205138.244594,212069.424666
2027,209549.819746,216451.968644
2028,212858.501111,219743.742253
2029,217821.523157,224673.127156
2030,220578.757628,227420.076955
2031,226093.226568,232896.456956
2032,231056.248615,237827.722259
2033,236570.717556,243305.557052
2034,242085.186496,248784.127562
2035,245945.314755,252625.418307
