year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,324342.39,4631.34,73857.4,3731.18
2018,316297.18,4632.75,73857.4,3969.73
2019,317643.17,4633.18,73857.4,3969.73
2020,319092.84,4633.51,73857.4,3969.73
2021,317420.24,4633.89,73857.4,3969.73
2022,318077.83,4633.58,73857.4,3969.73
2023,318402.96,4632.92,73857.4,3969.73
2024,318507.75,4631.71,73857.4,3731.18
2025,319024.74,4630.5,73857.4,3731.18
2026,319417.63,4629.34,73857.4,3731.18
2027,319601.36,4628.53,73857.4,3731.18
2028,319862.9,4627.79,73857.4,3731.18
2029,321172.25,4623.79,73857.4,3492.63
2030,322169.12,4620.5,73857.4,3492.63
2031,322947.79,4618.02,73857.4,3254.08
2032,323100.61,,,3254.08
2033,323022.41,,,3254.08
2034,322946.36,,,3254.08
2035,323177.62,,,3254.08
2036,323641.03,,,3254.08
