year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,13293.97,857971.33,500411.32,10698.73,1244952.13,384694.2
2018,14439.54,938334.69,530127.35,11176.03,1283973.53,401718.03
2019,15987.64,1048462.27,571726.04,11822.16,1337447.31,425732.06
2020,16718.88,1105014.27,590303.21,12111.14,1364906.82,436349.97
2021,17127.31,1140731.32,599903.88,12257.3,1382249.66,441746.48
2022,17422.77,1170495.53,606821.08,12348.94,1396702.04,445591.97
2023,17516.74,1188354.06,608712.38,12346.17,1405373.46,446505.39
2024,17611.68,1206212.58,605020.08,12345.4,1414044.88,443966.03
2025,17669.06,1224071.11,606591.66,12319.69,1422716.31,444720.1
2026,17828.03,1247882.48,610356.47,12344.8,1434278.2,446780.86
2027,17916.18,1268717.42,607121.33,12333.11,1444394.86,444576.13
2028,17985.14,1286575.95,608213.33,12319.88,1453066.29,445091.18
2029,18088.77,1307410.9,604477.3,12321.75,1463182.95,442636.8
2030,18025.58,1322293.0,604142.3,12230.84,1470409.13,442333.84
2031,18088.64,1346104.37,601001.98,12198.98,1481971.03,440283.15
2032,,,603562.5,,,441743.69
2033,,,607006.48,,,443751.32
2034,,,604024.92,,,441886.54
2035,,,603923.28,,,441806.68
2036,,,606727.82,,,443495.62
