year,Base case cost,Modeled water and wastewater efficiency
2017,66685.4489902,68796.9347226
2018,70276.513828,71244.3850767
2019,75105.2812885,74533.607449
2020,77471.8736345,76142.6088627
2021,79042.2265453,77212.8274372
2022,80141.1540317,77969.4574356
2023,81002.2435678,78568.3899159
2024,81651.4255421,79018.6083776
2025,82418.4003782,79547.0839812
2026,83419.8273908,80231.8222779
2027,84199.0830902,80764.4914171
2028,84879.2266466,81225.4033227
2029,85774.6030997,81835.8640594
2030,86324.9390477,82214.0465918
2031,87305.4507445,82891.0230503
