year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2879.7030047,2879.7030047
2018,3243.1092748,3243.1092748
2019,3617.62585916,3617.62585916
2020,4001.92055981,4001.92055981
2021,4396.01070617,4396.01070617
2022,4801.67689452,4801.67689452
2023,5218.69167641,5218.69167641
2024,5646.65214322,5646.65214322
2025,6083.57841051,6083.57841051
2026,6525.27459629,6525.27459629
2027,6973.66209826,6973.66209826
2028,7428.4593136,7428.4593136
2029,7895.73803229,7895.73803229
2030,8369.94851264,8369.94851264
2031,8851.05609586,8851.05609586
