year,annotation,consumption,consumption residential,consumption non-residential
2003,,541661.0,168529.0,373132.0
2004,,590676.0,184630.0,406046.0
2005,,570926.0,194683.0,376243.0
2006,,584399.0,191322.0,393077.0
2007,,691647.0,180066.0,511581.0
2008,,715621.0,141435.0,574186.0
2009,,625672.0,137977.0,487695.0
2010,,688180.0,155759.0,532421.0
2011,,730898.0,174101.0,556797.0
2012,,750162.0,174967.0,575195.0
2013,,709336.0,168745.0,540591.0
2014,start of forecast,721272.0,163745.0,557528.0
2015,,719393.0,161865.0,557528.0
2016,,717837.0,160310.0,557528.0
2017,,715961.0,158433.0,557528.0
2018,,714675.0,157148.0,557528.0
2019,,713624.0,156097.0,557528.0
2020,,712578.0,155050.0,557528.0
2021,,711066.0,153538.0,557528.0
2022,,709881.0,152353.0,557528.0
2023,,708376.0,150848.0,557528.0
2024,,706892.0,149364.0,557528.0
2025,,705712.0,148185.0,557528.0
2026,,704225.0,146697.0,557528.0
2027,,702927.0,145399.0,557528.0
2028,,701657.0,144129.0,557528.0
2029,,701140.0,143612.0,557528.0
2030,,700401.0,142874.0,557528.0
2031,,699473.0,141945.0,557528.0
2032,,697895.0,140367.0,557528.0
2033,,696134.0,138606.0,557528.0
2034,,694437.0,136910.0,557528.0
2035,,692967.0,135440.0,557528.0
2036,,691458.0,133931.0,557528.0
2037,,690203.0,132676.0,557528.0
2038,,688736.0,131208.0,557528.0
2039,,687335.0,129807.0,557528.0
2040,,685798.0,128271.0,557528.0
