year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5441.68500319,3537.09525207
2018,5439.57393939,3535.7230606
2019,5437.8475912,3534.60093428
2020,5436.12890871,3533.48379066
2021,5433.64527566,3531.86942918
2022,5431.69851159,3530.60403253
2023,5429.22653904,3528.99725038
2024,5426.78884622,3527.41275004
2025,5424.8515563,3526.15351159
2026,5422.40819517,3524.56532686
2027,5420.27650956,3523.17973121
2028,5418.18963051,3521.82325983
2029,5417.34051919,3521.27133748
2030,5416.12798889,3520.48319278
2031,5414.60275737,3519.49179229
