year,Base case diesel consumed,Modeled residential energy efficiency
2017,15858.8154294,15858.8154294
2018,15858.8154294,15858.8154294
2019,15858.8154294,15858.8154294
2020,15858.8154294,15858.8154294
2021,15858.8154294,15858.8154294
2022,14757.722129,14757.722129
2023,14757.722129,14757.722129
2024,14757.722129,14757.722129
2025,14757.722129,14757.722129
2026,14757.722129,14757.722129
2027,14757.722129,14757.722129
2028,14757.722129,14757.722129
2029,14757.722129,14757.722129
2030,14757.722129,14757.722129
2031,14757.722129,14757.722129
2032,14757.722129,14757.722129
2033,14757.722129,14757.722129
2034,14757.722129,14757.722129
2035,13656.6288285,13656.6288285
2036,13656.6288285,13656.6288285
