year,Base case diesel consumed,Modeled non-residential ashp
2017,13383.5658618,9368.49610729
2018,13383.5658618,9368.49610729
2019,13383.5658618,9368.49610729
2020,13383.5658618,9368.49610729
2021,13383.5658618,9368.49610729
2022,13383.5658618,9368.49610729
2023,13383.5658618,9368.49610729
2024,13383.5658618,9368.49610729
2025,13383.5658618,9368.49610729
2026,13383.5658618,9368.49610729
2027,13383.5658618,9368.49610729
2028,13383.5658618,9368.49610729
2029,13383.5658618,9368.49610729
2030,13383.5658618,9368.49610729
2031,13383.5658618,9368.49610729
