year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,180578.0,133522.06235
2018,180578.0,133522.06235
2019,180578.0,133522.06235
2020,180578.0,133522.06235
2021,180578.0,133522.06235
2022,180578.0,133522.06235
2023,180578.0,133522.06235
2024,180578.0,133522.06235
2025,180578.0,133522.06235
2026,180578.0,133522.06235
2027,180578.0,133522.06235
2028,180578.0,133522.06235
2029,180578.0,133522.06235
2030,180578.0,133522.06235
2031,180578.0,133522.06235
2032,,
2033,,
2034,,
2035,,
2036,,
