year,Base case cost,Modeled diesel efficiency
2019,254062.377422,435358.437463
2020,268915.254871,448861.053326
2021,279367.851579,458363.41397
2022,287193.281595,465477.441258
2023,292671.082607,470457.260359
2024,297675.132247,475006.396396
2025,303158.621526,479991.386649
2026,309425.466415,485688.518366
2027,315235.624734,490970.480475
2028,319940.634059,495247.761679
2029,326552.0254,501258.117443
2030,329691.948721,504112.59319
2031,337105.385692,510852.081346
2032,343391.733211,516566.942727
2033,350463.87417,522996.16178
2034,357905.752476,529761.505695
2035,362625.388772,534052.084146
2036,370086.769708,540835.157724
2037,374811.281662,545130.168591
2038,382292.165226,551930.971831
