year,Base case cost,Modeled residential ashp
2017,161739.029011,51113.2571318
2018,175274.094374,61696.0361903
2019,188242.363169,70604.9113167
2020,194530.008645,74924.3659235
2021,203370.46073,82534.6987145
2022,206592.073975,84772.2165252
2023,214055.090959,91497.1619328
2024,215704.792835,92654.8160918
2025,218179.34565,94391.2973304
2026,225856.286529,101330.166633
2027,233649.913169,108385.721697
2028,235809.278648,109930.02753
2029,238400.517224,111783.194529
2030,245534.597753,118425.227341
2031,248184.179209,120336.737221
