year,Base case cost,Modeled non-residential ashp
2017,118316.869915,115934.680762
2018,131667.266395,128513.024461
2019,150782.60681,146522.925667
2020,159885.149865,155099.069098
2021,166256.930004,161102.3695
2022,170808.201531,165390.441215
2023,174145.800651,168535.02714
2024,176876.563568,171107.870169
2025,180214.162688,174252.456094
2026,184158.598012,177968.784914
2027,187496.197132,181113.370839
2028,190530.37815,183972.085316
2029,194171.395372,187402.542688
2030,196598.740186,189689.51427
2031,200543.17551,193405.84309
