year,Base case cost,Modeled biomass for heat (cordwood)
2017,1316373.17218,1299204.75313
2018,1394778.17218,1357481.69309
2019,1498272.77218,1434407.25385
2020,1546883.87218,1470538.95663
2021,1578245.87218,1493849.73262
2022,1603335.47218,1512498.35341
2023,1620584.57218,1525319.2802
2024,1633129.37218,1534643.5906
2025,1650378.47218,1547464.51739
2026,1669195.67218,1561450.98298
2027,1686444.77218,1574271.90978
2028,1700557.67218,1584761.75897
2029,1717806.77218,1597582.68576
2030,1728783.47218,1605741.45736
2031,1749168.77218,1620893.46175
2032,,
2033,,
2034,,
2035,,
2036,,
