year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,53341.0,38104.0318748
2018,53341.0,38104.0318748
2019,53341.0,38104.0318748
2020,53341.0,38104.0318748
2021,53341.0,38104.0318748
2022,53341.0,38104.0318748
2023,53341.0,38104.0318748
2024,53341.0,38104.0318748
2025,53341.0,38104.0318748
2026,53341.0,38104.0318748
2027,53341.0,38104.0318748
2028,53341.0,38104.0318748
2029,53341.0,38104.0318748
2030,53341.0,38104.0318748
2031,53341.0,38104.0318748
2032,,
2033,,
2034,,
2035,,
2036,,
