year,Base case cost,Modeled biomass for heat (pellet)
2017,186202.346436,202393.382459
2018,200604.416436,212681.471065
2019,220873.996436,227161.003177
2020,231008.786436,234400.769233
2021,237409.706436,238973.253058
2022,242743.806436,242783.656246
2023,246477.676436,245450.938477
2024,249144.726436,247356.140071
2025,252878.596436,250023.422302
2026,257145.876436,253071.744852
2027,260879.746436,255739.027083
2028,263546.796436,257644.228677
2029,267814.076436,260692.551227
2030,270481.126436,262597.752821
2031,274748.406436,265646.075371
2032,,
2033,,
2034,,
2035,,
2036,,
