year,Base case cost,Modeled non-residential ashp
2017,288158.344181,359330.40208
2018,311452.326612,381448.035556
2019,342715.303034,411132.227852
2020,357427.291938,425101.259521
2021,367848.284078,434995.990287
2022,375204.27853,441980.506121
2023,380721.274369,447218.892997
2024,385012.271133,451293.193901
2025,389916.267434,455949.53779
2026,396659.262349,462352.010639
2027,402176.258188,467590.397514
2028,406467.254952,471664.698418
2029,411984.250791,476903.085294
2030,415662.248017,480395.343211
2031,422405.242931,486797.816059
