year,Base case cost,Modeled solar power (pv)
2016,52010.405054,58181.6105842
2017,63735.2940546,69739.1194514
2018,72754.4394397,78633.3512289
2019,85381.2429788,91084.7390304
2020,91556.6293564,97183.1759001
2021,95602.9410819,101179.710685
2022,98609.322877,104154.299753
2023,100834.687337,106356.951104
2024,102635.306754,108143.725922
2025,104549.334167,110040.047451
2026,107053.939072,112519.040626
2027,108951.918184,114400.126014
2028,110345.980632,115781.734542
2029,113226.115789,118637.584882
2030,114509.979901,119913.688283
2031,116976.068882,122356.328537
2032,119216.946701,124574.231607
2033,121438.566558,126773.34461
2034,123934.612368,129243.462526
2035,125301.927647,130596.923541
